district,region,anomalies,total_txns,anomaly_rate,lift
Praha - zapad,central Bohemia,123,10997,0.011184868600527417,2.2368043165674214
Plzen - jih,west Bohemia,84,8560,0.009813084112149532,1.9624681956353263
Chomutov,north Bohemia,67,7931,0.008447862816794856,1.6894446139032075
Benesov,central Bohemia,75,10481,0.007155805743726744,1.4310527684993248
Beroun,central Bohemia,71,10222,0.006945803169634122,1.3890554343331911
Hodonin,south Moravia,67,9676,0.006924348904505994,1.3847649062491048
Ceske Budejovice,south Bohemia,65,9448,0.006879762912785775,1.3758483831945987
Vsetin,north Moravia,68,10056,0.006762132060461416,1.3523239943405154
Prachatice,south Bohemia,87,12899,0.006744708892162183,1.34883962456811
Trutnov,east Bohemia,70,10753,0.006509811215474752,1.3018636469387144
Olomouc,north Moravia,137,21384,0.0064066591844369625,1.2812348030489307
Kladno,central Bohemia,70,11017,0.006353816828537714,1.2706671322076786
Kolin,central Bohemia,96,15140,0.006340819022457068,1.268067767853436
Tachov,west Bohemia,76,12549,0.006056259462905411,1.211160165819054
Chrudim,east Bohemia,66,11063,0.005965832052788575,1.1930760533891758
Prerov,north Moravia,76,12761,0.005955646109239088,1.1910390189533193
Bruntal,north Moravia,60,10141,0.005916576274529139,1.183225643754377
Kutna Hora,central Bohemia,69,11668,0.005913609873157353,1.182632408408477
Zlin,south Moravia,131,22652,0.005783153805403497,1.1565431707163614
Melnik,central Bohemia,60,10613,0.005653443889569396,1.1306031521071458
Cesky Krumlov,south Bohemia,65,11633,0.005587552651938451,1.1174259025550217
Mlada Boleslav,central Bohemia,71,12774,0.005558165022702364,1.1115488218063159
Teplice,north Bohemia,60,10820,0.005545286506469501,1.1089733136148927
Jindrichuv Hradec,south Bohemia,65,11779,0.005518295271245437,1.1035754753733396
Frydek - Mistek,north Moravia,112,20356,0.005502063273727648,1.1003293217160146
Rakovnik,central Bohemia,51,9329,0.0054668238825168825,1.0932819772018616
Usti nad Orlici,east Bohemia,76,13904,0.005466052934407365,1.0931277992565671
Ceska Lipa,north Bohemia,59,10937,0.005394532321477553,1.0788247599059388
Brno - venkov,south Moravia,68,12615,0.005390408244153785,1.0780000069035451
Litomerice,north Bohemia,45,8372,0.00537505972288581,1.0749305351152478
Karvina,north Moravia,190,35982,0.005280417986771163,1.0560036213150539
Hradec Kralove,east Bohemia,60,11366,0.005278901988386416,1.0557004445990796
Louny,north Bohemia,71,13640,0.0052052785923753665,1.0409768804804898
Zdar nad Sazavou,south Moravia,71,13803,0.005143809316815185,1.028683956368462
Decin,north Bohemia,62,12129,0.005111715722648198,1.0222657236175208
Ostrava - mesto,north Moravia,172,34172,0.005033360646143041,1.0065958950650922
Semily,east Bohemia,39,7854,0.004965622612681436,0.9930493143179959
Brno - mesto,south Moravia,140,28231,0.004959087527894868,0.9917423963396264
Jesenik,north Moravia,51,10417,0.004895843333013344,0.9790945152458643
Opava,north Moravia,67,13702,0.004889797109910962,0.9778853622001414
Domazlice,west Bohemia,41,8509,0.004818427547302856,0.9636125306260797
Klatovy,west Bohemia,41,8530,0.004806565064478312,0.9612402137277036
Strakonice,south Bohemia,44,9245,0.004759329367225527,0.9517937896985363
Hl.m. Praha,Prague,631,132613,0.004758206209044362,0.9515691750734078
Nymburk,central Bohemia,48,10394,0.004618048874350587,0.9235398309265452
Karlovy Vary,west Bohemia,53,11622,0.004560316640853553,0.9119942586267371
Pelhrimov,south Bohemia,42,9312,0.004510309278350515,0.9019935435265459
Blansko,south Moravia,50,11323,0.004415790868144484,0.8830912930402085
Praha - vychod,central Bohemia,55,12475,0.004408817635270541,0.8816967520804577
Plzen - mesto,west Bohemia,42,9762,0.0043023970497848806,0.8604142468059002
Znojmo,south Moravia,36,8442,0.0042643923240938165,0.85281387727883
Prostejov,south Moravia,49,11527,0.0042508892166218445,0.8501134602995052
Pribram,central Bohemia,40,9433,0.00424043252411746,0.8480222801733728
Cheb,west Bohemia,47,11184,0.0042024320457796855,0.8404227600526311
Sumperk,north Moravia,56,13351,0.004194442363867875,0.8388249446802183
Jicin,east Bohemia,41,9793,0.004186663943633207,0.8372693784435118
Nachod,east Bohemia,44,10595,0.004152902312411515,0.8305175635453486
Most,north Bohemia,39,9522,0.004095778197857593,0.8190936058237281
Rychnov nad Kneznou,east Bohemia,50,12368,0.004042690815006468,0.8084769333032247
Jablonec n. Nisou,north Bohemia,38,9573,0.00396949754517915,0.7938393879067852
Sokolov,west Bohemia,38,9753,0.0038962370552650468,0.7791883995110893
Tabor,south Bohemia,47,12111,0.00388076954834448,0.7760951323944039
Rokycany,west Bohemia,40,10382,0.0038528221922558272,0.7705060844611274
Pardubice,east Bohemia,49,12741,0.0038458519739423907,0.7691121463678201
Vyskov,south Moravia,42,11309,0.00371385622070917,0.7427149948995665
Jihlava,south Moravia,26,7235,0.00359364201796821,0.7186739750890154
Novy Jicin,north Moravia,33,9311,0.0035441950381269465,0.7087853280337478
Svitavy,east Bohemia,41,11881,0.0034508879723928964,0.6901253280950519
Trebic,south Moravia,40,11696,0.003419972640218878,0.6839427298970097
Uherske Hradiste,south Moravia,31,9432,0.0032866836301950805,0.657286946658021
Pisek,south Bohemia,26,9115,0.002852441031267142,0.5704450038144845
Usti nad Labem,north Bohemia,34,11959,0.0028430470775148422,0.5685663553427637
Plzen - sever,west Bohemia,28,10481,0.0026715008109913178,0.5342597002397479
Kromeriz,south Moravia,34,12850,0.0026459143968871595,0.529142804945067
Liberec,north Bohemia,31,12288,0.0025227864583333335,0.5045190821027389
Havlickuv Brod,east Bohemia,21,9417,0.0022300095571838167,0.44596813620681736
Breclav,south Moravia,21,10960,0.001916058394160584,0.38318265863682466
