fault_id,fault_type,table,record_id,detail
FAULT-00001,duplicate_keys,trans,3475388,duplicated trans_id with amount changed to 181.5
FAULT-00002,duplicate_keys,trans,3555310,duplicated trans_id with amount changed to 74.9
FAULT-00003,duplicate_keys,trans,530701,duplicated trans_id with amount changed to 9008.0
FAULT-00004,duplicate_keys,trans,3680671,duplicated trans_id with amount changed to 331.7
FAULT-00005,duplicate_keys,trans,1092120,duplicated trans_id with amount changed to 28.2
FAULT-00006,duplicate_keys,trans,283333,duplicated trans_id with amount changed to 8150.9
FAULT-00007,duplicate_keys,trans,405100,duplicated trans_id with amount changed to 23478.8
FAULT-00008,duplicate_keys,trans,2135572,duplicated trans_id with amount changed to 73636.7
FAULT-00009,duplicate_keys,trans,81017,duplicated trans_id with amount changed to 588.4
FAULT-00010,duplicate_keys,trans,2797105,duplicated trans_id with amount changed to 121.8
FAULT-00011,duplicate_keys,trans,47415,duplicated trans_id with amount changed to 16.1
FAULT-00012,duplicate_keys,trans,3242465,duplicated trans_id with amount changed to 27506.5
FAULT-00013,duplicate_keys,trans,746604,duplicated trans_id with amount changed to 13162.4
FAULT-00014,duplicate_keys,trans,3618,duplicated trans_id with amount changed to 3379.5
FAULT-00015,duplicate_keys,trans,3650326,duplicated trans_id with amount changed to 422.2
FAULT-00016,duplicate_keys,trans,342319,duplicated trans_id with amount changed to 2123.0
FAULT-00017,duplicate_keys,trans,430856,duplicated trans_id with amount changed to 1982.1
FAULT-00018,duplicate_keys,trans,1165731,duplicated trans_id with amount changed to 18671.6
FAULT-00019,duplicate_keys,trans,119778,duplicated trans_id with amount changed to 26.0
FAULT-00020,duplicate_keys,trans,1063574,duplicated trans_id with amount changed to 6919.6
FAULT-00021,duplicate_keys,trans,1563008,duplicated trans_id with amount changed to 1261.5
FAULT-00022,duplicate_keys,trans,304614,duplicated trans_id with amount changed to 18.0
FAULT-00023,duplicate_keys,trans,489664,duplicated trans_id with amount changed to 727.0
FAULT-00024,duplicate_keys,trans,254573,duplicated trans_id with amount changed to 16442.2
FAULT-00025,duplicate_keys,trans,907059,duplicated trans_id with amount changed to 2934.2
FAULT-00026,duplicate_keys,trans,473378,duplicated trans_id with amount changed to 6360.2
FAULT-00027,duplicate_keys,trans,823552,duplicated trans_id with amount changed to 2319.5
FAULT-00028,duplicate_keys,trans,3534589,duplicated trans_id with amount changed to 217.6
FAULT-00029,duplicate_keys,trans,3558725,duplicated trans_id with amount changed to 459.4
FAULT-00030,duplicate_keys,trans,2847320,duplicated trans_id with amount changed to 16660.1
FAULT-00031,duplicate_keys,trans,225187,duplicated trans_id with amount changed to 5869.9
FAULT-00032,duplicate_keys,trans,1633819,duplicated trans_id with amount changed to 24.0
FAULT-00033,duplicate_keys,trans,20858,duplicated trans_id with amount changed to 1709.3
FAULT-00034,duplicate_keys,trans,3512155,duplicated trans_id with amount changed to 112.4
FAULT-00035,duplicate_keys,trans,1301592,duplicated trans_id with amount changed to 7398.9
FAULT-00036,duplicate_keys,trans,7310,duplicated trans_id with amount changed to 13938.7
FAULT-00037,duplicate_keys,trans,3488386,duplicated trans_id with amount changed to 96.9
FAULT-00038,duplicate_keys,trans,764996,duplicated trans_id with amount changed to 1910.0
FAULT-00039,duplicate_keys,trans,3558332,duplicated trans_id with amount changed to 320.9
FAULT-00040,duplicate_keys,trans,3583168,duplicated trans_id with amount changed to 343.4
FAULT-00041,duplicate_keys,trans,207521,duplicated trans_id with amount changed to 1292.1
